Date,Price,Open,High,Low,Vol.,Change
06-01-2014,4481.4,4531.27,4537.91,4480.43,-,-0.99
07-01-2014,4488,4487.29,4515.18,4472.64,-,0.15
08-01-2014,4471.38,4486.29,4486.29,4454.18,-,-0.37
09-01-2014,4436.36,4469.8,4479.41,4410.72,-,-0.78
10-01-2014,4436.8,4429.44,4451.13,4410.4,-,0.01
13-01-2014,4312.1,4423.12,4423.32,4301.52,-,-2.81
14-01-2014,4358.03,4319.79,4363.51,4306.37,-,1.07
15-01-2014,4342.33,4360.75,4369.13,4334.18,-,-0.36
16-01-2014,4308.8,4333.03,4333.03,4284.85,-,-0.77
17-01-2014,4285.85,4307.17,4311,4278.75,-,-0.53
21-01-2014,4275.59,4295.95,4311.25,4258.61,-,-0.24
22-01-2014,4284.45,4277.02,4289.49,4267.08,-,0.21
23-01-2014,4255.4,4273.41,4276.09,4233.79,-,-0.68
24-01-2014,4186.42,4240.16,4240.16,4186.3,-,-1.62
27-01-2014,4170.48,4188.35,4206.94,4126.45,-,-0.38
28-01-2014,4183.75,4163.98,4203.27,4163.98,-,0.32
29-01-2014,4112.37,4164.53,4166.4,4110.9,-,-1.71
30-01-2014,4147.42,4123.86,4165.14,4123.86,-,0.85
31-01-2014,4122.47,4121.64,4149.32,4097.51,-,-0.6
03-02-2014,4003.91,4122.71,4123.83,3995.08,-,-2.88
04-02-2014,4024.81,4015.71,4051.59,4011.41,-,0.52
05-02-2014,4034.49,4015.45,4043.11,3972.7,-,0.24
06-02-2014,4131.15,4041.41,4132.92,4039.49,-,2.4
07-02-2014,4173.56,4150.59,4192.53,4150.29,-,1.03
10-02-2014,4164.09,4174.05,4176.36,4133.77,-,-0.23
11-02-2014,4195.51,4165.92,4208.48,4164.95,-,0.75
12-02-2014,4184.76,4196.96,4223.1,4173.94,-,-0.26
13-02-2014,4206.8,4169.56,4212.61,4146.02,-,0.53
14-02-2014,4196.22,4203.07,4203.94,4170.33,-,-0.25
18-02-2014,4219.62,4197.57,4225.12,4181.85,-,0.56
19-02-2014,4240.36,4217.31,4271.45,4212.94,-,0.49
20-02-2014,4239.6,4242.62,4252.88,4227.86,-,-0.02
21-02-2014,4246.85,4243.75,4260.28,4238.37,-,0.17
24-02-2014,4266.96,4246.93,4291.44,4246.93,-,0.47
25-02-2014,4318.98,4266.25,4326.72,4265.15,-,1.22
26-02-2014,4402.83,4325.83,4419.64,4325.83,-,1.94
27-02-2014,4425.47,4401.06,4436.64,4397.56,-,0.51
28-02-2014,4423.33,4429.36,4451.02,4398.35,-,-0.05
03-03-2014,4408.38,4410.3,4425.25,4370.53,-,-0.34
04-03-2014,4483.79,4420.4,4492.74,4420.4,-,1.71
05-03-2014,4469.91,4482.83,4488.04,4458.54,-,-0.31
06-03-2014,4459.93,4462.84,4474.71,4434.16,-,-0.22
07-03-2014,4492.88,4466.96,4518.48,4466.96,-,0.74
10-03-2014,4497.68,4493.14,4499.37,4467.68,-,0.11
11-03-2014,4471.18,4495.42,4502.48,4463.14,-,-0.59
12-03-2014,4469.22,4461.98,4469.22,4431.17,-,-0.04
13-03-2014,4417.09,4473.86,4492.58,4408.22,-,-1.17
14-03-2014,4423.23,4416.01,4451.09,4405.36,-,0.14
17-03-2014,4453.21,4430.96,4467.92,4430.96,-,0.68
18-03-2014,4472.9,4450.69,4480.79,4447.65,-,0.44
19-03-2014,4443.2,4472.65,4474.18,4419.97,-,-0.66
20-03-2014,4439.83,4439.09,4448.41,4424.34,-,-0.08
21-03-2014,4448.8,4447.11,4495.13,4447.11,-,0.2
24-03-2014,4403.17,4452.16,4461.24,4378.32,-,-1.03
25-03-2014,4357.64,4403.17,4432.47,4344.89,-,-1.03
26-03-2014,4305.3,4368.33,4390.3,4305.28,-,-1.2
27-03-2014,4294.52,4306.17,4320.39,4275.26,-,-0.25
28-03-2014,4334.88,4298.24,4361.96,4298.24,-,0.94
31-03-2014,4355.11,4341.13,4367.54,4341.13,-,0.47
01-04-2014,4420.13,4360.1,4420.75,4360.1,-,1.49
02-04-2014,4482.85,4422.05,4486.79,4422.05,-,1.42
03-04-2014,4467.9,4482.63,4501.31,4442.83,-,-0.33
04-04-2014,4386.9,4474.8,4484.91,4377.67,-,-1.81
07-04-2014,4290.12,4383.72,4383.72,4266.1,-,-2.21
08-04-2014,4333.95,4293.23,4341.27,4283.57,-,1.02
09-04-2014,4369.45,4338.01,4370.24,4318.6,-,0.82
10-04-2014,4255.16,4370.32,4375.54,4250.63,-,-2.62
11-04-2014,4190.26,4245.2,4245.2,4172.69,-,-1.53
14-04-2014,4212.58,4200.44,4245.27,4180.45,-,0.53
15-04-2014,4215.57,4215.43,4244.91,4145.39,-,0.07
16-04-2014,4235.4,4226.85,4256.85,4215.14,-,0.47
17-04-2014,4233.37,4234.89,4246.06,4217.63,-,-0.05
21-04-2014,4246.03,4234.94,4251.56,4226.03,-,0.3
22-04-2014,4302.11,4251.4,4316.19,4251.4,-,1.32
23-04-2014,4295.46,4300.68,4324.93,4295.41,-,-0.15
24-04-2014,4305.97,4300.7,4320.47,4271.73,-,0.24
25-04-2014,4250.06,4297.56,4297.56,4242.33,-,-1.3
28-04-2014,4292.5,4254.12,4329.88,4236.5,-,1
29-04-2014,4310.64,4297.08,4320.42,4286.43,-,0.42
30-04-2014,4314.84,4306.71,4315.33,4270.43,-,0.1
01-05-2014,4317.62,4316.18,4345.5,4302.42,-,0.06
02-05-2014,4340.79,4323.84,4381.41,4323.19,-,0.54
05-05-2014,4318.4,4337.47,4337.47,4292.4,-,-0.52
06-05-2014,4246.16,4315.77,4315.77,4245.92,-,-1.67
07-05-2014,4204.27,4236.05,4236.05,4168.88,-,-0.99
08-05-2014,4225.24,4204.55,4304.11,4204.55,-,0.5
09-05-2014,4298.18,4223.05,4300.54,4222.4,-,1.73
12-05-2014,4384.36,4302.62,4391,4302.62,-,2.01
13-05-2014,4366.66,4383.58,4400.81,4360.72,-,-0.4
14-05-2014,4307.4,4363.39,4365.79,4302.91,-,-1.36
15-05-2014,4256.33,4301.87,4301.87,4217.1,-,-1.19
16-05-2014,4318.44,4259.01,4318.45,4259.01,-,1.46
19-05-2014,4333.4,4313.88,4335.15,4307.67,-,0.35
20-05-2014,4226.16,4320.57,4320.57,4214.2,-,-2.47
21-05-2014,4236.5,4226.55,4263.27,4199.57,-,0.24
22-05-2014,4282.19,4245.51,4292.84,4245.51,-,1.08
23-05-2014,4300.11,4291.28,4305.02,4268.69,-,0.42
27-05-2014,4326.73,4307.9,4340.12,4307.9,-,0.62
28-05-2014,4284.57,4324.31,4324.31,4271.86,-,-0.97
29-05-2014,4309.23,4290.67,4310.59,4274.16,-,0.58
30-05-2014,4327.68,4310.12,4335.33,4304.81,-,0.43
02-06-2014,4315.63,4338.86,4340.57,4297.64,-,-0.28
03-06-2014,4326.62,4310.49,4333.95,4294.13,-,0.25
04-06-2014,4361.87,4320.19,4367.24,4307.75,-,0.81
05-06-2014,4390.33,4363.04,4395.97,4321.69,-,0.65
06-06-2014,4417.2,4396.58,4437.03,4396.58,-,0.61
09-06-2014,4431.06,4419.14,4456.93,4419.14,-,0.31
10-06-2014,4424.57,4423.47,4432.92,4414.02,-,-0.15
11-06-2014,4414.85,4422.92,4423.47,4397.57,-,-0.22
12-06-2014,4356.73,4412.37,4412.37,4347.92,-,-1.32
13-06-2014,4376.84,4363.49,4382.16,4346.73,-,0.46
16-06-2014,4416.29,4376.11,4416.85,4371.42,-,0.9
17-06-2014,4454.1,4417.51,4459.19,4417.35,-,0.86
18-06-2014,4482.33,4455.22,4483.77,4447.02,-,0.63
19-06-2014,4466.19,4486.19,4502.38,4457.78,-,-0.36
20-06-2014,4462.97,4470.54,4481.56,4451.45,-,-0.07
23-06-2014,4466.52,4465.37,4476.38,4458.6,-,0.08
24-06-2014,4437.27,4463.19,4489.14,4433.88,-,-0.65
25-06-2014,4460.36,4431.68,4463.24,4427.25,-,0.52
26-06-2014,4453.62,4461.52,4461.88,4420.68,-,-0.15
27-06-2014,4478.11,4447.34,4478.27,4443.42,-,0.55
30-06-2014,4487.46,4475.87,4491.93,4462.93,-,0.21
01-07-2014,4527.13,4493.34,4541.52,4493.34,-,0.88
02-07-2014,4528.89,4531.45,4555.86,4525.78,-,0.04
03-07-2014,4582.09,4538,4587.43,4538,-,1.17
07-07-2014,4535,4577.87,4577.87,4532.49,-,-1.03
08-07-2014,4487.86,4530.61,4530.61,4476.05,-,-1.04
09-07-2014,4517.67,4494.35,4518.91,4492.72,-,0.66
10-07-2014,4463.9,4491.89,4491.89,4435.05,-,-1.19
11-07-2014,4436.22,4453.23,4455.32,4418.07,-,-0.62
14-07-2014,4435.29,4450,4460.7,4430.99,-,-0.02
15-07-2014,4408.93,4437.69,4447.2,4394.52,-,-0.59
16-07-2014,4390.85,4418,4423.24,4379.01,-,-0.41
17-07-2014,4339.28,4379.32,4385.7,4335.14,-,-1.17
18-07-2014,4415.53,4342.4,4417.21,4341.47,-,1.76
21-07-2014,4383.62,4409.63,4409.63,4369.54,-,-0.72
22-07-2014,4376.87,4390.41,4396.73,4376.67,-,-0.15
23-07-2014,4384.61,4377.03,4395.62,4367.13,-,0.18
24-07-2014,4416.57,4386.26,4425.8,4386.26,-,0.73
25-07-2014,4363.02,4405.84,4405.84,4361.04,-,-1.21
28-07-2014,4358.88,4369.75,4379.25,4342.72,-,-0.09
29-07-2014,4355.24,4362.35,4388.3,4355.24,-,-0.08
30-07-2014,4401.49,4365.49,4405.97,4365.49,-,1.06
31-07-2014,4336.28,4385.36,4386.38,4330.01,-,-1.48
01-08-2014,4328.39,4338.91,4357.64,4297.27,-,-0.18
04-08-2014,4375.58,4334.15,4383.32,4332.55,-,1.09
05-08-2014,4360.34,4364.71,4397.16,4337.42,-,-0.35
06-08-2014,4374.5,4339.94,4390.91,4321.17,-,0.32
07-08-2014,4341.99,4379,4398.95,4332.72,-,-0.74
08-08-2014,4410.05,4343.06,4412.79,4343.06,-,1.57
11-08-2014,4435.61,4416.47,4451.05,4412.45,-,0.58
12-08-2014,4399.5,4429.79,4435.53,4383.43,-,-0.81
13-08-2014,4373.72,4403.36,4408.55,4351.84,-,-0.59
14-08-2014,4419.33,4376.35,4422.38,4375.56,-,1.04
15-08-2014,4378.76,4431.74,4435.88,4350.79,-,-0.92
18-08-2014,4446.12,4390.39,4446.29,4390.39,-,1.54
19-08-2014,4503.56,4453.34,4514.51,4453.34,-,1.29
20-08-2014,4532.06,4501.42,4539.06,4489.6,-,0.63
21-08-2014,4521.72,4527.93,4531.75,4498.19,-,-0.23
22-08-2014,4551.68,4529.74,4557.88,4520.76,-,0.66
25-08-2014,4576.28,4561.29,4578.66,4561.29,-,0.54
26-08-2014,4609.01,4578.3,4617.46,4578.3,-,0.72
27-08-2014,4627.68,4612.89,4637.92,4609.41,-,0.41
28-08-2014,4602.93,4616.92,4616.92,4563.38,-,-0.53
29-08-2014,4594.17,4605.85,4611.46,4581.67,-,-0.19
02-09-2014,4605.1,4600.45,4623.52,4585.9,-,0.24
03-09-2014,4595.59,4610.94,4631.92,4591.13,-,-0.21
04-09-2014,4618.54,4599.51,4636.98,4599.51,-,0.5
05-09-2014,4612.62,4606.18,4613.33,4566.5,-,-0.13
08-09-2014,4596.65,4609.56,4615.25,4577.75,-,-0.35
09-09-2014,4551.56,4592.46,4595.8,4549.73,-,-0.98
10-09-2014,4568.8,4557.14,4571.65,4532.14,-,0.38
11-09-2014,4603.37,4555.68,4604.54,4548.05,-,0.76
12-09-2014,4606.24,4612.73,4619.05,4590.23,-,0.06
15-09-2014,4557.57,4603.97,4604.78,4553.44,-,-1.06
16-09-2014,4598.72,4551.73,4608.36,4545.95,-,0.9
17-09-2014,4606.25,4598.93,4624.53,4593.34,-,0.16
18-09-2014,4613.22,4614.41,4622.47,4600.97,-,0.15
19-09-2014,4583.24,4622.56,4635.23,4570.18,-,-0.65
22-09-2014,4507.66,4574.28,4574.28,4499.26,-,-1.65
23-09-2014,4460.55,4495.11,4502.73,4460.55,-,-1.05
24-09-2014,4508,4462.87,4509.41,4459.44,-,1.06
25-09-2014,4453.39,4508,4508.29,4444.63,-,-1.21
26-09-2014,4473.01,4453.44,4484.4,4453.44,-,0.44
29-09-2014,4470.74,4458.02,4480.89,4434.93,-,-0.05
30-09-2014,4427.35,4469.83,4471.57,4427.26,-,-0.97
